ID Geography,Geography,Property Value (2013),Property Value (2014),Property Value (2015),Property Value (2016),Property Value (2017),Property Value (2018),Property Value Moe (2013),Property Value Moe (2014),Property Value Moe (2015),Property Value Moe (2016),Property Value Moe (2017),Property Value Moe (2018)
"05000US01055","Etowah County, AL",101900,99700,99200,109400,115200,127800,8497,6589,7143,7779,15927,13254
"05000US72127","San Juan Municipio, PR",164400,162200,160400,153900,146100,153500,3420.0000000000004,3646.9999999999995,3361,3440.0000000000004,4096,4133
"05000US39063","Hancock County, OH",122100,128400,141000,145400,133500,152900,6623,11103,11532,10887,14109.999999999998,10824
"05000US39061","Hamilton County, OH",140900,140000,144000,150100,151600,162100,3379.0000000000004,2977,3627.0000000000004,3353,4461,3595
"05000US01069","Houston County, AL",119900,117100,131000,126800,138800,132700,6963,4766,5302,6243,6964.999999999999,6233
"05000US39157","Tuscarawas County, OH",108500,107800,125100,126600,127100,141100,5123,6225,7612.999999999999,9955,7914,13913
"05000US39057","Greene County, OH",157500,159000,160000,168500,170900,183800,6472,5824,4357,4494,6994.999999999999,7151.999999999999
"05000US39055","Geauga County, OH",219700,211400,218300,228300,259200,245700,11342,12161,12097,10695,9499,13426
"05000US39165","Warren County, OH",187100,188700,206000,216700,213500,237500,10779,8862,9842,9385,10172,7946
"05000US01073","Jefferson County, AL",143300,142500,155000,152000,160200,166900,4786,5694,4907,4068.0000000000004,5678,5871
"05000US72113","Ponce Municipio, PR",100800,105800,95400,96100,99800,101200,4068.0000000000004,4660,2250,2058,5188,3671.9999999999995
"05000US39049","Franklin County, OH",146300,153000,158400,162300,172600,186500,2868,2625,2877,3509.9999999999995,2989,4617
"05000US39045","Fairfield County, OH",155600,163000,167900,173500,186200,192300,5638,4830,5870,5876,8128.999999999999,9394
"05000US01077","Lauderdale County, AL",118600,114000,125300,139400,144800,157800,6407,7745.000000000001,10835,11551,15778,9079
"05000US39169","Wayne County, OH",130700,139900,138700,139600,149600,155800,6279,6473,5425,4508,6656,4949
"05000US39043","Erie County, OH",123600,128100,136300,123900,152100,139700,8846,7076,9455,7828,7593.000000000001,7560
"05000US39041","Delaware County, OH",246200,263700,285300,296200,300200,320000,8414,10101,9059,9717,9172,8796
"05000US39173","Wood County, OH",147300,147500,156700,160200,172900,167400,8097,8066.999999999999,5044,5353,9040,9477
"05000US01081","Lee County, AL",138100,156000,169000,163400,160700,182700,9585,9896,8774,9987,10101,9943
"05000US72097","Mayagüez Municipio, PR",100700,104500,96800,104500,97200,94000,11043,9499,8868,5726,9319,5862
"05000US39035","Cuyahoga County, OH",118800,120700,124400,126700,131700,139100,2038,1992,2154,2227,2233,2887
"05000US39029","Columbiana County, OH",94400,99800,109400,110000,102000,102900,6801,8183,6500,6927.999999999999,8250,6173
"05000US01083","Limestone County, AL",136600,143100,152600,151500,158500,164800,10675,8749,11893,12340,11681,9041
"05000US40017","Canadian County, OK",142300,146700,156000,163100,166600,163800,4981,4447,6426,5172,4175,5292
"05000US39025","Clermont County, OH",154700,153600,164700,169600,161500,171100,6200,6141,4725,6400,4693,4667
"05000US39023","Clark County, OH",102300,100800,102100,109500,121000,119200,4823,4785,5586,5198,5666,5770
"05000US40027","Cleveland County, OK",149400,147900,155800,163300,162800,169800,4768,4147,4450,4440,4607,5038
"05000US01089","Madison County, AL",162300,171600,177700,178200,182400,192500,5422,6361,7181.999999999999,8024.000000000001,6849,6885.000000000001
"05000US72061","Guaynabo Municipio, PR",210500,172400,199700,174800,183200,164000,15913.000000000001,9367,15030,21836,19688,6927
"05000US39017","Butler County, OH",157800,154300,164800,168400,167800,181300,3857,4101,3928,3406,4232,6169
"05000US39013","Belmont County, OH",85400,92300,92600,99500,115200,98500,6998,7701,7804,5289,9684,5287
"05000US01095","Marshall County, AL",117100,106400,122800,121700,121600,136200,9115,9049,10726,9939,9772,13471
"05000US40031","Comanche County, OK",112200,120300,121100,129400,139900,116400,10129,7478.000000000001,9375,10038,12201,6607
"05000US39009","Athens County, OH",,,124500,108400,154400,118400,,,14624,15789.000000000001,17136,35319
"05000US39007","Ashtabula County, OH",103900,100800,107300,111400,113400,112700,7079,8369,5930,8160,7607,6767
"05000US39003","Allen County, OH",111200,98800,113500,112000,121500,118600,6850.000000000001,4685,6455,7338.999999999999,6683,6376
"05000US01097","Mobile County, AL",121200,120700,120500,126800,131200,131700,4669,3640,4583,4312,5113,5138
"05000US72031","Carolina Municipio, PR",153000,152300,148600,142600,134400,140200,4239,3899,4375,4787,4406,5356
"05000US40037","Creek County, OK",106300,102000,109600,113700,135000,126800,7480,4988,6989.999999999999,7749,6467,8533
"05000US38101","Ward County, ND",214800,206800,216600,214800,206600,204400,18051,17715,16897,9998,13526.999999999998,12790
"05000US01101","Montgomery County, AL",119000,125400,122100,126000,128200,134800,3478,7582,5939,6989.999999999999,7642,7930
"05000US38035","Grand Forks County, ND",162400,154300,191900,199000,205100,208200,6289,9126,10484,14631,11505,15522
"05000US40101","Muskogee County, OK",97200,89500,97800,105200,107000,113100,6419,5122,6427,7039,8583,9446
"05000US38017","Cass County, ND",170600,179600,200500,203100,224800,230300,8327,9550,11995,10072,11930,8178
"05000US38015","Burleigh County, ND",207400,219500,245000,249700,266000,272400,11808,10598,11974,13139,12599,9524
"05000US01103","Morgan County, AL",123600,120900,132000,123500,143000,139700,9976,7645.000000000001,9137,10168,11256,10952
"05000US72025","Caguas Municipio, PR",138000,140600,131500,132300,119000,128200,4140,4588,4416,5825,5257,7907.000000000001
"05000US40109","Oklahoma County, OK",133100,136000,142200,149700,152300,156800,2895,3457,2956,2986,3345,3592.0000000000004
"05000US37195","Wilson County, NC",113900,124300,116500,121100,123300,121800,11737,8829,9966,9839,10985,10642
"05000US01115","St. Clair County, AL",129300,128500,153000,155800,145300,172000,11836,10980,6087,8786,10458,12318
"05000US37193","Wilkes County, NC",102400,115700,126000,130400,135400,109000,10021,10142,12552,15882,8036.999999999999,13329
"05000US40119","Payne County, OK",145300,136900,155000,156600,156400,162900,9701,7505.999999999999,10156,16250,12366,7813
"05000US37191","Wayne County, NC",117700,105700,119600,127800,117600,132700,8461,12182,11017,10565,11090,9439
"05000US37183","Wake County, NC",224100,237400,252500,268400,276000,301900,4697,4750,5426,5619,5623,5619
"05000US01117","Shelby County, AL",192700,191700,197300,199200,207300,217900,8004.000000000001,9337,6986,8054.000000000001,7492,5290
"05000US72021","Bayamón Municipio, PR",146600,140100,139200,134900,127700,128100,4111,3380,3163,2840,4993,3544
"05000US40125","Pottawatomie County, OK",94200,113600,105000,117500,118900,126400,5154,5825,9491,7856,7956.999999999999,10908
"05000US37179","Union County, NC",191100,209700,216800,223300,232300,269900,11467,11635,10383,8607,9036,10621
"05000US01121","Talladega County, AL",93800,92800,99100,95200,103200,115800,8666,16532,8701,14024.999999999998,16015,16033.999999999998
"05000US37171","Surry County, NC",122000,116400,125200,118100,125300,123100,9485,8629,8895,9017,10793,10413
"05000US40131","Rogers County, OK",136200,145500,156700,158200,157500,166700,5701,5911,5642,7276,5180,5684
"05000US37161","Rutherford County, NC",104600,98600,102700,115100,124500,123100,12107,14393.999999999998,13090,17748,14295,10115
"05000US37159","Rowan County, NC",136000,130400,121500,131100,130000,137000,10171,10404,7206.999999999999,11217,7792.000000000001,7734
"05000US01125","Tuscaloosa County, AL",152100,154800,164700,168300,167400,173800,6984.999999999999,7651,5426,5921,8210,8303
"05000US72013","Arecibo Municipio, PR",87000,105300,93800,96700,97800,95900,7877.000000000001,7594,5100,3045,6862,3853.9999999999995
"05000US40143","Tulsa County, OK",136100,140000,147900,150100,155600,160800,3264,2228,2903,2398,2831,2443
"05000US37157","Rockingham County, NC",106700,110400,109000,109100,118800,114100,6875.000000000001,6582,9451,9257,8343,6531
"05000US01127","Walker County, AL",82400,78900,90500,89100,104100,109900,6213,10411,12719,12139,14166,20434
"05000US37155","Robeson County, NC",63600,71600,78000,74200,77100,78900,4408,3413.9999999999995,4581,3295,5749,3508
"05000US40145","Wagoner County, OK",143700,141600,152100,157600,160600,164700,6861,5912,4832,4989,4905,6022
"05000US37151","Randolph County, NC",120200,110800,121500,116800,124700,128800,7916,7126,7216,5277,7226,7209.000000000001
"05000US37147","Pitt County, NC",134200,126400,138200,138400,150800,146300,9592,10229,9153,15186.999999999998,9104,7705.000000000001
"05000US02020","Anchorage Municipality, AK",295500,289400,302500,320800,320000,321300,8152,7305,10833,9363,8181.000000000001,7904.999999999999
"05000US56025","Natrona County, WY",187800,206600,206400,208800,206200,211000,8704,12733,14448.999999999998,13205,15206.000000000001,14257
"05000US41003","Benton County, OR",276300,265800,275800,312400,351100,356600,12619,10510,13333,14224.000000000001,17799,16930
"05000US37135","Orange County, NC",270700,281400,278200,304000,279700,327300,19981,18079,16405,21075,27296,18965
"05000US02090","Fairbanks North Star Borough, AK",218200,237400,229300,226900,239000,259500,21623,25375,10257,13269,25603,12658
"05000US37133","Onslow County, NC",157000,156800,147400,151500,158600,154900,6844,6537,6221,6474,6378,8217
"05000US41005","Clackamas County, OR",294800,302300,336200,374900,404200,439100,8561,8178,6616,5289,10137,9796
"05000US37129","New Hanover County, NC",204500,228200,230000,229500,242600,248300,11545,10648,9957,10921,10772,8941
"05000US37127","Nash County, NC",110500,117200,118200,130400,131700,131700,11469,9583,10814,7594,11245,18929
"05000US02170","Matanuska-Susitna Borough, AK",220700,227000,236100,244500,254000,251800,6275,6632,6108,7979.000000000001,8364,8537
"05000US56021","Laramie County, WY",197800,201200,204500,210200,217500,246500,9761,11666,10777,15085,11007,11354
"05000US41017","Deschutes County, OR",240000,257200,312600,317500,368600,408500,16955,18488,18751,17479,16477,16808
"05000US37125","Moore County, NC",214300,191100,204900,217600,233800,222300,15100,24927,19310,15624.000000000001,23083,13010
"05000US04001","Apache County, AZ",93900,82900,58400,72800,49400,52300,5283,7047.000000000001,7714,3127,5257,3784.0000000000004
"05000US37119","Mecklenburg County, NC",176600,189900,203700,221400,234100,253000,5073,3764.0000000000004,5615,4565,5190,5975
"05000US41019","Douglas County, OR",163800,171200,170400,183400,200600,216400,7248,7601,6565,12225,15415.000000000001,11679
"05000US37109","Lincoln County, NC",156100,148800,152300,159200,168200,180700,13903,13336,10545,13817,9792,14939
"05000US37101","Johnston County, NC",145300,144300,147400,152700,159300,171300,7358.999999999999,8292,7475,5799,6201,8837
"05000US04003","Cochise County, AZ",150000,144800,146900,130100,155600,142200,10055,8832,9607,10544,9308,9060
"05000US55141","Wood County, WI",120800,124600,127600,134400,135500,129400,6849,7388,8152,5867,6680,6384
"05000US41029","Jackson County, OR",199800,222900,243500,259900,291600,293600,9421,10325,11769,10502,12713,12974
"05000US37097","Iredell County, NC",168700,166900,169400,182900,185000,200000,9232,5700,6210,11489,11244,10719
"05000US04005","Coconino County, AZ",204800,227500,228600,272000,277400,293800,18237,22240,15946,21020,24817,17432
"05000US37089","Henderson County, NC",181300,180900,191800,201700,211400,227900,12325,11637,9707,10925,12330,11620
"05000US41033","Josephine County, OR",205800,213100,232700,251000,278000,281200,18772,19894,14233,15352,14102,20465
"05000US37085","Harnett County, NC",138700,137400,143900,153600,150700,155400,8163.999999999999,10034,8492,7986.999999999999,9663,7784.999999999999
"05000US37081","Guilford County, NC",159200,154700,160700,160900,164500,170300,3911.0000000000004,4344,4972,4234,4134,5412
"05000US04013","Maricopa County, AZ",185000,206300,228300,239300,256500,276800,2331,2488,2369,2268,2762,2262
"05000US55139","Winnebago County, WI",143400,142300,144200,146300,157800,149200,5418,4358,4610,3899.9999999999995,4771,5561
"05000US41035","Klamath County, OR",144400,152000,150900,155500,179300,169500,11408,11253,13458,11884,14395,13334
"05000US37071","Gaston County, NC",122400,127500,128000,136400,141400,153700,5231,6222,4332,5640,5776,4949
"05000US04015","Mohave County, AZ",123900,120200,139400,148700,157100,189300,8466,8462,10963,7809,8593,16120
"05000US37069","Franklin County, NC",,,,,158100,132800,,,,,10276,15073
"05000US37067","Forsyth County, NC",149700,144900,151600,153200,156500,163200,4654,4110,3891.0000000000004,4512,3737,4119
"05000US41039","Lane County, OR",206700,214700,235800,243500,258300,281200,6816,5923,5675,7072.000000000001,6658,6210
"05000US37063","Durham County, NC",179000,181900,195200,194800,227200,233300,8810,8183.999999999999,7151.999999999999,7955,8742,7365
"05000US04017","Navajo County, AZ",98500,104400,120900,98700,138900,124600,7928,7076,10339,10153,10617,19324
"05000US55133","Waukesha County, WI",246200,251700,261400,273000,279200,290500,4170,4470,4532,4354,4414,3944.9999999999995
"05000US37057","Davidson County, NC",133300,130800,134400,131800,140000,151100,8423,8618,5199,8028,7632,8675
"05000US41043","Linn County, OR",173800,167400,176300,190700,216100,254300,7649,7024.999999999999,9832,10173,12670,12013
"05000US04019","Pima County, AZ",155300,158400,165900,170300,182300,198100,3484,2632,2540,2950,3551.0000000000004,3811
"05000US37051","Cumberland County, NC",130800,124100,128600,134300,136500,138700,6629,4151,7612.999999999999,5031,5019,5923
"05000US37049","Craven County, NC",152000,152000,156900,158600,159600,168300,9539,9321,8561,8315,7320,13281
"05000US41047","Marion County, OR",179600,182900,200400,224300,239100,270200,4619,6944,7635.000000000001,5370,5984,7555
"05000US37045","Cleveland County, NC",98800,99400,112500,121800,112500,125800,6052,6874,8359,6646,5112,11820
"05000US04021","Pinal County, AZ",135100,145900,156500,166300,179900,200200,4338,5083,4785,5247,4459,6040
"05000US55131","Washington County, WI",212600,205100,219100,223100,232300,241500,6969,9202,8380,6430,7156.999999999999,7697
"05000US37037","Chatham County, NC",237200,234100,220400,295800,277400,319400,27673,17934,25871,21484,21052,29295.999999999996
"05000US41051","Multnomah County, OR",274700,290400,321700,367700,393900,422900,6019,5968,6575,6081,7101,8211
"05000US04025","Yavapai County, AZ",173500,192700,216300,227500,260900,261700,8460,11500,9430,12368,9886,10760
"05000US37035","Catawba County, NC",142500,136700,128400,145600,143200,154400,7612,5923,6476,7403.999999999999,8783,7746
"05000US37031","Carteret County, NC",189600,194500,199800,218500,204500,218500,12201,9484,12812,16627,16944,13299
"05000US41053","Polk County, OR",192000,220100,216100,241300,254500,284400,10083,16748,10706,12747,14699,12453
"05000US37027","Caldwell County, NC",105600,115700,106800,110500,119800,122500,8270,7965,9410,6802.999999999999,8908,11568
"05000US04027","Yuma County, AZ",108800,108900,119400,123300,132500,140600,6577,5291,4108,5254,6463,6487
"05000US55127","Walworth County, WI",185700,193300,188700,195700,203500,205000,7084.999999999999,6275,5892,8832,11339,8566
"05000US37025","Cabarrus County, NC",168400,169800,170600,199200,208000,219700,7432,7261,7368.999999999999,10425,10716,12336
"05000US41059","Umatilla County, OR",138600,139700,162500,146800,172000,185900,10827,11274,10986,11141,18722,14990
"05000US05007","Benton County, AR",143500,157200,166200,170200,180500,196700,5357,5960,6935.000000000001,4797,8918,10431
"05000US37023","Burke County, NC",113500,115800,120700,116200,125100,119400,8589,10950,10502,9145,14031,14505
"05000US37021","Buncombe County, NC",193500,191100,204000,221000,240100,257200,8018,9113,8654,7239.000000000001,9825,11560
"05000US41067","Washington County, OR",277000,291500,322400,361400,394000,417100,4576,5272,6731,5263,6438,7744
"05000US37019","Brunswick County, NC",195100,176100,200300,205300,214300,218200,14665,8972,12516,14118,16401,15930
"05000US05031","Craighead County, AR",128900,136500,132900,135400,137500,149700,10608,9288,8780,10117,8255,13987
"05000US55117","Sheboygan County, WI",146500,143700,145000,154700,154900,167300,5958,4195,4975,6575,7659,6322
"05000US37001","Alamance County, NC",139800,133700,141100,148700,153800,151900,8463,7672,6860.000000000001,6565,7709,6917.999999999999
"05000US41071","Yamhill County, OR",214600,222900,238900,275500,308700,317100,18777,14144.999999999998,12155,11318,18804,21768
"05000US05045","Faulkner County, AR",139600,147800,160700,159900,165200,159900,5626,6905.000000000001,6513,6552,7799.999999999999,8271
"05000US36119","Westchester County, NY",493800,501100,514700,516500,547800,560800,11131,10724,14577.000000000001,15001.000000000001,10671,11898
"05000US36117","Wayne County, NY",118000,117100,120900,119400,125000,130600,6378,4519,6862.999999999999,6127,8000,6109
"05000US42001","Adams County, PA",192900,190700,193800,206900,203500,206800,6894,9954,7934,8298,8521,11584
"05000US36113","Warren County, NY",186300,197100,187800,197300,194200,195200,11251,13160,11512,12178,9431,11577
"05000US05051","Garland County, AR",121500,124800,134500,142600,140400,149500,8224,12459,15584.000000000001,13177,14149.999999999998,14712.999999999998
"05000US55109","St. Croix County, WI",198100,208400,215400,226400,248500,261300,10633,8943,9953,8964,10403,12759
"05000US36111","Ulster County, NY",218500,217100,216900,224800,233000,243700,9727,8744,7767,8298,10033,12522
"05000US42003","Allegheny County, PA",127500,133500,141700,147100,153500,163300,2943,2430,2001.0000000000002,2692,3311,2734
"05000US05069","Jefferson County, AR",78400,83900,80200,88000,85800,84100,8010,7206,5999,12099,6346,6832.999999999999
"05000US36109","Tompkins County, NY",173100,182100,195100,201400,205300,215800,12230,16090,9781,14219.000000000001,12788,12709
"05000US36105","Sullivan County, NY",167300,161700,168500,167200,177500,179900,9331,5927,14069.000000000001,11630,15992,20988
"05000US42005","Armstrong County, PA",90200,89400,108200,94500,114400,115300,5625,5100,5976,6742,11271,8175
"05000US36103","Suffolk County, NY",368400,368800,381700,386400,394600,409400,3156,2669,3200,3339,3653.0000000000004,4418
"05000US05085","Lonoke County, AR",133800,127300,142100,137000,143300,134100,6959,7268,7138,10045,11906,9011
"05000US55105","Rock County, WI",125400,135100,133300,138800,142700,151400,5664,5036,3944.9999999999995,5403,5292,4849
"05000US36101","Steuben County, NY",90900,98100,92400,100700,97500,102600,3635.9999999999995,3593,5199,5783,7064.999999999999,4863
"05000US42007","Beaver County, PA",120500,119600,131500,137600,138300,140800,4331,4964,6944,5330,6635,5686
"05000US05119","Pulaski County, AR",141700,140200,153200,153800,156300,164700,6284,6175,4846,6195,5326,4243
"05000US36093","Schenectady County, NY",165200,161700,167000,168100,164400,174200,5181,4051.9999999999995,4805,5693,6940.000000000001,6815.000000000001
"05000US36091","Saratoga County, NY",230600,238000,241600,250400,258600,267200,7433,9058,6814,7176.999999999999,9283,7974.000000000001
"05000US42011","Berks County, PA",166900,168600,171100,174800,173700,186000,3570.9999999999995,3620.9999999999995,4475,4774,3683.0000000000004,5822
"05000US36089","St. Lawrence County, NY",82400,89200,89700,87700,94300,98400,4000,5574,4664,3638,4521,5984
"05000US05125","Saline County, AR",136600,138600,147200,154100,154100,157500,8051,8333,7627,9409,7657.999999999999,8333
"05000US55101","Racine County, WI",160600,164400,162000,169100,169500,187300,5838,6117,4816,6754,6310,7707
"05000US36087","Rockland County, NY",413400,414500,430600,431600,439100,454500,10001,10197,9796,7500.999999999999,9070,9138
"05000US42013","Blair County, PA",115200,112500,114800,114700,129600,128500,6922,5300,6151,5011,7781,8456
"05000US05131","Sebastian County, AR",127600,115600,117100,111900,124700,140000,7432,8071.999999999999,5145,9431,10925,11967
"05000US36085","Richmond County, NY",432600,441000,457700,477100,501300,556000,7772.000000000001,8685,6482,7609,13279,11735
"05000US36083","Rensselaer County, NY",172200,180800,182100,184200,196000,187100,5692,6189,6624,10111,5569,8805
"05000US42017","Bucks County, PA",301300,311000,318600,322400,326700,338500,5838,6075,5166,5261,5983,4870
"05000US36081","Queens County, NY",439500,447300,487400,508000,545800,577400,5924,5557,7019.999999999999,9433,8094.000000000001,9658
"05000US05143","Washington County, AR",148600,159800,159600,168100,172200,169800,7966,6436,7421.000000000001,7667.999999999999,8302,5832
"05000US55097","Portage County, WI",149800,156800,159900,162000,162000,178700,6403,5165,5696,5948,6257,6255
"05000US36079","Putnam County, NY",355900,353600,344400,362300,359700,354800,11003,11783,8419,11945,13359,11268
"05000US42019","Butler County, PA",178400,179700,190600,195900,210200,217400,7311.000000000001,8581,6388,9557,7868,9313
"05000US05145","White County, AR",103600,131200,104900,117300,118400,123300,11861,14232,11348,10104,9006,11738
"05000US36075","Oswego County, NY",92700,96000,102000,101100,103300,111400,3952,7383,5225,5510,7842.000000000001,5605
"05000US36071","Orange County, NY",259300,254700,262500,258800,269100,282200,6680,6230,7602,5856,6989.999999999999,6295
"05000US42021","Cambria County, PA",85300,88800,89100,93400,91600,94600,5241,4398,3523,3603,5589,6324
"05000US36069","Ontario County, NY",145900,149800,156400,154300,166100,166200,6945.000000000001,10935,7408.999999999999,7614,6886,10587
"05000US06001","Alameda County, CA",518900,587600,656700,713600,781000,842000,9781,7606,5961,10202,11652,9100
"05000US55089","Ozaukee County, WI",230500,243700,250000,270300,291200,295100,9252,10775,13612,10646,9511,15464
"05000US36067","Onondaga County, NY",132400,135800,139500,139800,146700,148800,4058.0000000000004,2558,3110,2873,3309,3513
"05000US42025","Carbon County, PA",139000,124600,146000,139000,151400,140800,13855.000000000001,14634,9686,12730,11269,13880.000000000001
"05000US06007","Butte County, CA",217600,225400,246700,256500,268900,274200,10164,9034,9668,11171,14193,14223
"05000US36065","Oneida County, NY",113600,116000,117000,125000,124000,135100,5252,5671,3943,4822,4747,6205
"05000US36063","Niagara County, NY",106100,105500,115700,122900,124900,132700,4679,4658,4717,6354,5566,6643
"05000US42027","Centre County, PA",198700,198500,206600,224400,232300,234700,9576,10633,10524,9291,8798,13665.999999999998
"05000US36061","New York County, NY",848600,888500,867600,1003400,976100,1013400,31991,30252.000000000003,35147,44819,35100,57841.00000000001
"05000US06013","Contra Costa County, CA",424100,474000,522500,577000,642300,670000,11512,9578,12823,12968,10632,8126.000000000001
"05000US55087","Outagamie County, WI",155400,156900,157700,162100,168600,176000,4030,3426,4524,4148,3628,7315
"05000US36059","Nassau County, NY",436000,443200,458800,471900,489900,517500,4123,4180,3408.9999999999995,3886.0000000000004,4100,7447
"05000US42029","Chester County, PA",321100,325500,332900,347700,355000,367800,7141,7206,7495.999999999999,7246,6861,6852
"05000US06017","El Dorado County, CA",352900,376800,413100,426800,472100,486600,12804,14113,15832,17953,15104,15104
"05000US36055","Monroe County, NY",139900,137600,143100,143100,147700,151800,2227,1972,2299,2187,2641,3234
"05000US36053","Madison County, NY",135300,119700,134500,142400,145800,133800,10059,7727,13735.999999999998,11312,11516,8158.999999999999
"05000US42033","Clearfield County, PA",84500,87100,91500,94100,96600,99300,3326,4470,5880,6038,4640,7499
"05000US36051","Livingston County, NY",129800,117000,117200,126800,135300,134900,9883,8125,9274,7343,10171,8310
"05000US06019","Fresno County, CA",185200,204700,220100,238100,248700,274400,5954,5079,4800,4477,6620,5812
"05000US55079","Milwaukee County, WI",146700,147200,150400,151700,157000,162600,2375,2669,2739,2471,3193,2251
"05000US36047","Kings County, NY",557000,574800,638500,667000,701800,759400,8173,9859,9179,10084,10709,15462
"05000US42037","Columbia County, PA",129700,141400,151500,145300,151700,159900,8364,9081,7398,9388,7687.999999999999,7104
"05000US06023","Humboldt County, CA",259500,272200,278400,298300,325200,326400,12540,8783,12545,14737.000000000001,15445.999999999998,13665.999999999998
"05000US36045","Jefferson County, NY",143800,147900,155600,149600,148300,145600,11720,9248,6221,8960,10126,9201
"05000US36029","Erie County, NY",127600,131800,139800,146400,153300,160200,3261,2597,2569,2370,2373,2640
"05000US42039","Crawford County, PA",100400,100300,110400,114500,114600,113700,5725,6247,4741,5338,5277,5793
"05000US36027","Dutchess County, NY",274000,270900,268100,279300,279300,291600,5949,7936,7231.999999999999,6241,5522,5807
"05000US06025","Imperial County, CA",148400,156000,169000,170900,200700,214400,9215,7946.999999999999,5118,6871,9841,9504
"05000US55073","Marathon County, WI",141900,145600,151500,146700,148400,164800,4188,4949,4192,3805.0000000000004,4728,4492
"05000US36019","Clinton County, NY",121200,130200,128700,130500,136900,135500,8370,8071.999999999999,8656,7011,6941,9704
"05000US42041","Cumberland County, PA",188400,191300,192700,200200,202300,208200,5673,4369,4849,6323,7211,7475
"05000US06029","Kern County, CA",161000,183100,197100,204200,205700,226400,4533,7201,6541,6222,5314,4799
"05000US36015","Chemung County, NY",96500,111800,98600,111600,112900,105300,5792,8649,5393,5946,8734,9791
"05000US36013","Chautauqua County, NY",85700,83500,86300,87000,87500,86700,3384.0000000000004,2552,3574,3041,4069,3092
"05000US42043","Dauphin County, PA",160300,158100,158500,167500,173600,171000,3358,3281,4058.0000000000004,4889,4056.9999999999995,4474
"05000US36011","Cayuga County, NY",119800,111700,122600,127000,120900,137500,6914,5194,5921,7426.000000000001,6438,6028
"05000US06031","Kings County, CA",169200,169200,183000,190500,224500,231100,10858,10344,10686,12569,6237,10321
"05000US55071","Manitowoc County, WI",126200,124400,128800,129100,123100,129900,6211,6383,5523,6318,5337,9629
"05000US36009","Cattaraugus County, NY",85000,85400,88100,83200,88300,86200,3282,3342,3679,3428,2679,3941.0000000000004
