Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Dillon County, South Carolina",Dillon County, South Carolina,2012,"$46,875.00 ",$905.00 ,"$3,906.25 ",23%
"Hyde County, North Carolina",Hyde County, North Carolina,2010,"$46,932.00 ",$975.00 ,"$3,911.00 ",25%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2014,"$47,069.00 ",$919.00 ,"$3,922.42 ",23%
"Anson County, North Carolina",Anson County, North Carolina,2013,"$47,158.00 ",$880.00 ,"$3,929.83 ",22%
"Avery County, North Carolina",Avery County, North Carolina,2011,"$47,206.00 ","$1,026.00 ","$3,933.83 ",26%
"Williamsburg County, South Carolina",Williamsburg County, South Carolina,2017,"$47,206.00 ",$929.00 ,"$3,933.83 ",24%
"Marion County, South Carolina",Marion County, South Carolina,2015,"$47,253.00 ",$910.00 ,"$3,937.75 ",23%
"Scotland County, North Carolina",Scotland County, North Carolina,2014,"$47,253.00 ",$981.00 ,"$3,937.75 ",25%
"Colleton County, South Carolina",Colleton County, South Carolina,2013,"$47,273.00 ","$1,037.00 ","$3,939.42 ",26%
"Jasper County, South Carolina",Jasper County, South Carolina,2017,"$47,368.00 ","$1,113.00 ","$3,947.33 ",28%
"Anson County, North Carolina",Anson County, North Carolina,2015,"$47,379.00 ",$920.00 ,"$3,948.25 ",23%
"Anson County, North Carolina",Anson County, North Carolina,2014,"$47,383.00 ",$903.00 ,"$3,948.58 ",23%
"Graham County, North Carolina",Graham County, North Carolina,2012,"$47,417.00 ",$933.00 ,"$3,951.42 ",24%
"Marion County, South Carolina",Marion County, South Carolina,2017,"$47,623.00 ",$924.00 ,"$3,968.58 ",23%
"Allendale County, South Carolina",Allendale County, South Carolina,2014,"$47,635.00 ",$936.00 ,"$3,969.58 ",24%
"Vance County, North Carolina",Vance County, North Carolina,2010,"$47,673.00 ","$1,065.00 ","$3,972.75 ",27%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2012,"$47,681.00 ",$916.00 ,"$3,973.42 ",23%
"Hampton County, South Carolina",Hampton County, South Carolina,2010,"$47,732.00 ",$787.00 ,"$3,977.67 ",20%
"Bladen County, North Carolina",Bladen County, North Carolina,2016,"$47,790.00 ",$983.00 ,"$3,982.50 ",25%
"Scotland County, North Carolina",Scotland County, North Carolina,2011,"$47,823.00 ",$990.00 ,"$3,985.25 ",25%
"Scotland County, North Carolina",Scotland County, North Carolina,2015,"$47,948.00 ",$967.00 ,"$3,995.67 ",24%
"Colleton County, South Carolina",Colleton County, South Carolina,2010,"$48,007.00 ",$936.00 ,"$4,000.58 ",23%
"Jones County, North Carolina",Jones County, North Carolina,2015,"$48,041.00 ","$1,059.00 ","$4,003.42 ",26%
"Northampton County, North Carolina",Northampton County, North Carolina,2011,"$48,065.00 ",$912.00 ,"$4,005.42 ",23%
"Lee County, South Carolina",Lee County, South Carolina,2016,"$48,136.00 ",$877.00 ,"$4,011.33 ",22%
"Scotland County, North Carolina",Scotland County, North Carolina,2012,"$48,160.00 ",$992.00 ,"$4,013.33 ",25%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2015,"$48,298.00 ",$958.00 ,"$4,024.83 ",24%
"Allendale County, South Carolina",Allendale County, South Carolina,2012,"$48,315.00 ",$844.00 ,"$4,026.25 ",21%
"Colleton County, South Carolina",Colleton County, South Carolina,2012,"$48,327.00 ","$1,034.00 ","$4,027.25 ",26%
"Northampton County, North Carolina",Northampton County, North Carolina,2012,"$48,329.00 ",$924.00 ,"$4,027.42 ",23%
"Colleton County, South Carolina",Colleton County, South Carolina,2011,"$48,384.00 ",$973.00 ,"$4,032.00 ",24%
"Northampton County, North Carolina",Northampton County, North Carolina,2016,"$48,393.00 ",$959.00 ,"$4,032.75 ",24%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2012,"$48,398.00 ",$869.00 ,"$4,033.17 ",22%
"Bertie County, North Carolina",Bertie County, North Carolina,2011,"$48,458.00 ",$930.00 ,"$4,038.17 ",23%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2011,"$48,476.00 ",$793.00 ,"$4,039.67 ",20%
"Marion County, South Carolina",Marion County, South Carolina,2014,"$48,484.00 ",$925.00 ,"$4,040.33 ",23%
"Macon County, North Carolina",Macon County, North Carolina,2011,"$48,490.00 ","$1,042.00 ","$4,040.83 ",26%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2015,"$48,596.00 ",$890.00 ,"$4,049.67 ",22%
"Bertie County, North Carolina",Bertie County, North Carolina,2013,"$48,633.00 ",$959.00 ,"$4,052.75 ",24%
"Northampton County, North Carolina",Northampton County, North Carolina,2013,"$48,750.00 ",$964.00 ,"$4,062.50 ",24%
"Clay County, North Carolina",Clay County, North Carolina,2017,"$48,796.00 ","$1,082.00 ","$4,066.33 ",27%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2013,"$48,824.00 ",$950.00 ,"$4,068.67 ",23%
"Colleton County, South Carolina",Colleton County, South Carolina,2014,"$48,824.00 ","$1,054.00 ","$4,068.67 ",26%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2014,"$48,965.00 ",$955.00 ,"$4,080.42 ",23%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2010,"$49,069.00 ",$867.00 ,"$4,089.08 ",21%
"Bladen County, North Carolina",Bladen County, North Carolina,2010,"$49,112.00 ",$911.00 ,"$4,092.67 ",22%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2011,"$49,122.00 ",$848.00 ,"$4,093.50 ",21%
"Graham County, North Carolina",Graham County, North Carolina,2017,"$49,167.00 ",$851.00 ,"$4,097.25 ",21%
"Allendale County, South Carolina",Allendale County, South Carolina,2013,"$49,199.00 ",$920.00 ,"$4,099.92 ",22%
"Swain County, North Carolina",Swain County, North Carolina,2010,"$49,200.00 ",$812.00 ,"$4,100.00 ",20%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2014,"$49,213.00 ",$837.00 ,"$4,101.08 ",20%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2010,"$49,286.00 ",$972.00 ,"$4,107.17 ",24%
"Alleghany County, North Carolina",Alleghany County, North Carolina,2012,"$49,357.00 ","$1,105.00 ","$4,113.08 ",27%
"Clay County, North Carolina",Clay County, North Carolina,2011,"$49,357.00 ","$1,145.00 ","$4,113.08 ",28%
"Marion County, South Carolina",Marion County, South Carolina,2013,"$49,391.00 ",$919.00 ,"$4,115.92 ",22%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2010,"$49,419.00 ",$917.00 ,"$4,118.25 ",22%
"Clay County, North Carolina",Clay County, North Carolina,2018,"$49,516.00 ","$1,144.00 ","$4,126.33 ",28%
"Macon County, North Carolina",Macon County, North Carolina,2010,"$49,524.00 ","$1,008.00 ","$4,127.00 ",24%
"Duplin County, North Carolina",Duplin County, North Carolina,2010,"$49,577.00 ",$955.00 ,"$4,131.42 ",23%
"Jones County, North Carolina",Jones County, North Carolina,2014,"$49,663.00 ","$1,085.00 ","$4,138.58 ",26%
"Macon County, North Carolina",Macon County, North Carolina,2012,"$49,668.00 ","$1,065.00 ","$4,139.00 ",26%
"Bladen County, North Carolina",Bladen County, North Carolina,2015,"$49,693.00 ",$983.00 ,"$4,141.08 ",24%
"Caswell County, North Carolina",Caswell County, North Carolina,2010,"$49,718.00 ","$1,001.00 ","$4,143.17 ",24%
"Dillon County, South Carolina",Dillon County, South Carolina,2013,"$49,757.00 ",$926.00 ,"$4,146.42 ",22%
"Bertie County, North Carolina",Bertie County, North Carolina,2017,"$49,788.00 ","$1,045.00 ","$4,149.00 ",25%
"Robeson County, North Carolina",Robeson County, North Carolina,2013,"$49,794.00 ",$990.00 ,"$4,149.50 ",24%
"Yancey County, North Carolina",Yancey County, North Carolina,2012,"$49,797.00 ",$997.00 ,"$4,149.75 ",24%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2010,"$49,814.00 ",$967.00 ,"$4,151.17 ",23%
"Hertford County, North Carolina",Hertford County, North Carolina,2010,"$49,883.00 ","$1,009.00 ","$4,156.92 ",24%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2011,"$49,906.00 ","$1,013.00 ","$4,158.83 ",24%
"Robeson County, North Carolina",Robeson County, North Carolina,2011,"$49,978.00 ",$973.00 ,"$4,164.83 ",23%
"Graham County, North Carolina",Graham County, North Carolina,2018,"$50,000.00 ",$872.00 ,"$4,166.67 ",21%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2013,"$50,008.00 ",$903.00 ,"$4,167.33 ",22%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2011,"$50,050.00 ",$941.00 ,"$4,170.83 ",23%
"Warren County, North Carolina",Warren County, North Carolina,2016,"$50,057.00 ","$1,085.00 ","$4,171.42 ",26%
"Northampton County, North Carolina",Northampton County, North Carolina,2015,"$50,122.00 ",$987.00 ,"$4,176.83 ",24%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2015,"$50,132.00 ",$842.00 ,"$4,177.67 ",20%
"Bladen County, North Carolina",Bladen County, North Carolina,2013,"$50,176.00 ",$985.00 ,"$4,181.33 ",24%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2016,"$50,179.00 ",$984.00 ,"$4,181.58 ",24%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2011,"$50,193.00 ",$894.00 ,"$4,182.75 ",21%
"Bertie County, North Carolina",Bertie County, North Carolina,2012,"$50,199.00 ",$962.00 ,"$4,183.25 ",23%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2011,"$50,222.00 ","$1,018.00 ","$4,185.17 ",24%
"Marion County, South Carolina",Marion County, South Carolina,2010,"$50,293.00 ",$850.00 ,"$4,191.08 ",20%
"Bladen County, North Carolina",Bladen County, North Carolina,2011,"$50,320.00 ",$962.00 ,"$4,193.33 ",23%
"Yancey County, North Carolina",Yancey County, North Carolina,2011,"$50,446.00 ","$1,009.00 ","$4,203.83 ",24%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2014,"$50,461.00 ",$900.00 ,"$4,205.08 ",21%
"Bladen County, North Carolina",Bladen County, North Carolina,2014,"$50,609.00 ",$996.00 ,"$4,217.42 ",24%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2014,"$50,625.00 ",$975.00 ,"$4,218.75 ",23%
"Clay County, North Carolina",Clay County, North Carolina,2016,"$50,662.00 ","$1,012.00 ","$4,221.83 ",24%
"Robeson County, North Carolina",Robeson County, North Carolina,2012,"$50,776.00 ",$986.00 ,"$4,231.33 ",23%
"Bladen County, North Carolina",Bladen County, North Carolina,2012,"$50,785.00 ",$981.00 ,"$4,232.08 ",23%
"Hertford County, North Carolina",Hertford County, North Carolina,2011,"$50,800.00 ",$994.00 ,"$4,233.33 ",23%
"Bertie County, North Carolina",Bertie County, North Carolina,2015,"$50,833.00 ","$1,067.00 ","$4,236.08 ",25%
"Scotland County, North Carolina",Scotland County, North Carolina,2010,"$50,894.00 ",$968.00 ,"$4,241.17 ",23%
"Warren County, North Carolina",Warren County, North Carolina,2015,"$50,955.00 ","$1,091.00 ","$4,246.25 ",26%
"Clay County, North Carolina",Clay County, North Carolina,2014,"$50,960.00 ",$967.00 ,"$4,246.67 ",23%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2016,"$51,005.00 ",$851.00 ,"$4,250.42 ",20%
"McCormick County, South Carolina",McCormick County, South Carolina,2011,"$51,035.00 ","$1,058.00 ","$4,252.92 ",25%
"Avery County, North Carolina",Avery County, North Carolina,2013,"$51,082.00 ",$997.00 ,"$4,256.83 ",23%
"Dillon County, South Carolina",Dillon County, South Carolina,2014,"$51,101.00 ",$885.00 ,"$4,258.42 ",21%
"Northampton County, North Carolina",Northampton County, North Carolina,2017,"$51,154.00 ","$1,000.00 ","$4,262.83 ",23%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2012,"$51,186.00 ",$976.00 ,"$4,265.50 ",23%
"Clarendon County, South Carolina",Clarendon County, South Carolina,2016,"$51,199.00 ",$977.00 ,"$4,266.58 ",23%
"Graham County, North Carolina",Graham County, North Carolina,2016,"$51,218.00 ",$811.00 ,"$4,268.17 ",19%
"Macon County, North Carolina",Macon County, North Carolina,2013,"$51,234.00 ","$1,051.00 ","$4,269.50 ",25%
"McCormick County, South Carolina",McCormick County, South Carolina,2012,"$51,250.00 ","$1,040.00 ","$4,270.83 ",24%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2012,"$51,250.00 ","$1,034.00 ","$4,270.83 ",24%
"McCormick County, South Carolina",McCormick County, South Carolina,2010,"$51,280.00 ",$994.00 ,"$4,273.33 ",23%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2014,"$51,300.00 ","$1,017.00 ","$4,275.00 ",24%
"Yancey County, North Carolina",Yancey County, North Carolina,2013,"$51,325.00 ","$1,032.00 ","$4,277.08 ",24%
"Hampton County, South Carolina",Hampton County, South Carolina,2011,"$51,370.00 ",$820.00 ,"$4,280.83 ",19%
"Caswell County, North Carolina",Caswell County, North Carolina,2011,"$51,374.00 ",$960.00 ,"$4,281.17 ",22%
"Halifax County, North Carolina",Halifax County, North Carolina,2010,"$51,374.00 ","$1,015.00 ","$4,281.17 ",24%
"Jones County, North Carolina",Jones County, North Carolina,2013,"$51,386.00 ","$1,034.00 ","$4,282.17 ",24%
"Clay County, North Carolina",Clay County, North Carolina,2013,"$51,394.00 ",$973.00 ,"$4,282.83 ",23%
"Jones County, North Carolina",Jones County, North Carolina,2016,"$51,418.00 ","$1,054.00 ","$4,284.83 ",25%
"Richmond County, North Carolina",Richmond County, North Carolina,2010,"$51,453.00 ",$901.00 ,"$4,287.75 ",21%
"Bladen County, North Carolina",Bladen County, North Carolina,2017,"$51,545.00 ","$1,012.00 ","$4,295.42 ",24%
"Columbus County, North Carolina",Columbus County, North Carolina,2012,"$51,589.00 ","$1,071.00 ","$4,299.08 ",25%
"Colleton County, South Carolina",Colleton County, South Carolina,2015,"$51,604.00 ","$1,061.00 ","$4,300.33 ",25%
"Fairfield County, South Carolina",Fairfield County, South Carolina,2010,"$51,616.00 ",$991.00 ,"$4,301.33 ",23%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2015,"$51,665.00 ","$1,005.00 ","$4,305.42 ",23%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2012,"$51,750.00 ",$977.00 ,"$4,312.50 ",23%
"Washington County, North Carolina",Washington County, North Carolina,2014,"$51,780.00 ",$980.00 ,"$4,315.00 ",23%
"Chester County, South Carolina",Chester County, South Carolina,2013,"$51,788.00 ",$925.00 ,"$4,315.67 ",21%
"Barnwell County, South Carolina",Barnwell County, South Carolina,2013,"$51,792.00 ",$948.00 ,"$4,316.00 ",22%
"Warren County, North Carolina",Warren County, North Carolina,2017,"$51,828.00 ","$1,058.00 ","$4,319.00 ",24%
"Macon County, North Carolina",Macon County, North Carolina,2014,"$51,832.00 ","$1,081.00 ","$4,319.33 ",25%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2010,"$51,845.00 ",$926.00 ,"$4,320.42 ",21%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2014,"$51,853.00 ","$1,050.00 ","$4,321.08 ",24%
"Jones County, North Carolina",Jones County, North Carolina,2012,"$51,885.00 ","$1,039.00 ","$4,323.75 ",24%
"Washington County, North Carolina",Washington County, North Carolina,2010,"$51,924.00 ","$1,063.00 ","$4,327.00 ",25%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2011,"$51,948.00 ",$940.00 ,"$4,329.00 ",22%
"Ashe County, North Carolina",Ashe County, North Carolina,2013,"$51,971.00 ","$1,045.00 ","$4,330.92 ",24%
"Chester County, South Carolina",Chester County, South Carolina,2010,"$52,003.00 ",$909.00 ,"$4,333.58 ",21%
"Northampton County, North Carolina",Northampton County, North Carolina,2014,"$52,003.00 ","$1,002.00 ","$4,333.58 ",23%
"Columbus County, North Carolina",Columbus County, North Carolina,2015,"$52,008.00 ","$1,034.00 ","$4,334.00 ",24%
"Marlboro County, South Carolina",Marlboro County, South Carolina,2017,"$52,022.00 ",$842.00 ,"$4,335.17 ",19%
"Ashe County, North Carolina",Ashe County, North Carolina,2012,"$52,027.00 ","$1,061.00 ","$4,335.58 ",24%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2010,"$52,049.00 ",$930.00 ,"$4,337.42 ",21%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2012,"$52,114.00 ","$1,030.00 ","$4,342.83 ",24%
"Clay County, North Carolina",Clay County, North Carolina,2012,"$52,121.00 ","$1,050.00 ","$4,343.42 ",24%
"Edgecombe County, North Carolina",Edgecombe County, North Carolina,2010,"$52,172.00 ","$1,000.00 ","$4,347.67 ",23%
"Duplin County, North Carolina",Duplin County, North Carolina,2011,"$52,175.00 ",$986.00 ,"$4,347.92 ",23%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2014,"$52,188.00 ","$1,018.00 ","$4,349.00 ",23%
"Halifax County, North Carolina",Halifax County, North Carolina,2011,"$52,191.00 ","$1,030.00 ","$4,349.25 ",24%
"Clay County, North Carolina",Clay County, North Carolina,2015,"$52,216.00 ",$981.00 ,"$4,351.33 ",23%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2012,"$52,243.00 ",$937.00 ,"$4,353.58 ",22%
"Chesterfield County, South Carolina",Chesterfield County, South Carolina,2010,"$52,244.00 ",$847.00 ,"$4,353.67 ",19%
"Columbus County, North Carolina",Columbus County, North Carolina,2011,"$52,257.00 ","$1,059.00 ","$4,354.75 ",24%
"Cherokee County, North Carolina",Cherokee County, North Carolina,2017,"$52,294.00 ",$957.00 ,"$4,357.83 ",22%
"Union County, South Carolina",Union County, South Carolina,2011,"$52,314.00 ",$896.00 ,"$4,359.50 ",21%
"Columbus County, North Carolina",Columbus County, North Carolina,2013,"$52,319.00 ","$1,037.00 ","$4,359.92 ",24%
"Warren County, North Carolina",Warren County, North Carolina,2018,"$52,331.00 ","$1,085.00 ","$4,360.92 ",25%
"Bertie County, North Carolina",Bertie County, North Carolina,2016,"$52,341.00 ","$1,040.00 ","$4,361.75 ",24%
"Orangeburg County, South Carolina",Orangeburg County, South Carolina,2013,"$52,355.00 ","$1,008.00 ","$4,362.92 ",23%
"Tyrrell County, North Carolina",Tyrrell County, North Carolina,2013,"$52,390.00 ","$1,053.00 ","$4,365.83 ",24%
"Hertford County, North Carolina",Hertford County, North Carolina,2012,"$52,395.00 ","$1,029.00 ","$4,366.25 ",24%
"Hertford County, North Carolina",Hertford County, North Carolina,2013,"$52,422.00 ","$1,063.00 ","$4,368.50 ",24%
"Cherokee County, South Carolina",Cherokee County, South Carolina,2011,"$52,431.00 ",$932.00 ,"$4,369.25 ",21%
"Wilkes County, North Carolina",Wilkes County, North Carolina,2013,"$52,459.00 ","$1,021.00 ","$4,371.58 ",23%
"Columbus County, North Carolina",Columbus County, North Carolina,2014,"$52,494.00 ","$1,026.00 ","$4,374.50 ",23%
"Ashe County, North Carolina",Ashe County, North Carolina,2014,"$52,500.00 ","$1,053.00 ","$4,375.00 ",24%
"Mitchell County, North Carolina",Mitchell County, North Carolina,2015,"$52,519.00 ","$1,007.00 ","$4,376.58 ",23%
"Rutherford County, North Carolina",Rutherford County, North Carolina,2013,"$52,519.00 ",$952.00 ,"$4,376.58 ",22%
"Robeson County, North Carolina",Robeson County, North Carolina,2015,"$52,542.00 ",$981.00 ,"$4,378.50 ",22%
"Montgomery County, North Carolina",Montgomery County, North Carolina,2011,"$52,547.00 ",$990.00 ,"$4,378.92 ",23%
"Union County, South Carolina",Union County, South Carolina,2012,"$52,574.00 ",$908.00 ,"$4,381.17 ",21%
"Halifax County, North Carolina",Halifax County, North Carolina,2012,"$52,589.00 ","$1,043.00 ","$4,382.42 ",24%
"Dillon County, South Carolina",Dillon County, South Carolina,2015,"$52,618.00 ",$847.00 ,"$4,384.83 ",19%
"Robeson County, North Carolina",Robeson County, North Carolina,2016,"$52,646.00 ",$956.00 ,"$4,387.17 ",22%
"Warren County, North Carolina",Warren County, North Carolina,2014,"$52,746.00 ","$1,070.00 ","$4,395.50 ",24%
"Hyde County, North Carolina",Hyde County, North Carolina,2011,"$52,820.00 ",$953.00 ,"$4,401.67 ",22%
